IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,100,0.11
130.162.58.75,443,443,true,FRA,Europe,Frankfurt,355,0.07
141.144.235.114,443,443,true,FRA,Europe,Frankfurt,298,0.06
158.180.13.98,443,443,true,FRA,Europe,Frankfurt,300,0.05
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,74,0.05
132.145.127.203,8443,443,true,NRT,Asia Pacific,Tokyo,70,0.05
158.101.202.59,443,443,true,FRA,Europe,Frankfurt,305,0.05
138.2.129.89,443,443,true,FRA,Europe,Frankfurt,474,0.04
158.180.23.178,443,443,true,FRA,Europe,Frankfurt,339,0.04
138.2.160.223,443,443,true,FRA,Europe,Frankfurt,384,0.03
140.238.214.178,80,80,false,MXP,Europe,Milan,203,0.03
84.8.149.63,443,443,true,FRA,Europe,Frankfurt,331,0.03
141.147.79.4,443,443,true,FRA,Europe,Frankfurt,302,0.03
129.153.119.97,443,443,true,LAX,North America,Los Angeles,180,0.02
140.238.214.178,80,80,false,MXP,Europe,Milan,307,0.02
158.178.129.114,8443,443,true,TLV,Middle East,Tel Aviv,357,0.02
138.2.166.119,443,443,true,FRA,Europe,Frankfurt,322,0.02
150.230.150.254,443,443,true,FRA,Europe,Frankfurt,427,0.01
151.145.36.72,443,443,true,YUL,North America,Montréal,322,0.01
138.2.166.119,80,80,false,FRA,Europe,Frankfurt,322,0.01
141.148.219.182,80,80,false,BOM,Asia Pacific,Mumbai,55,0.00
129.154.254.254,8443,443,true,BOM,Asia Pacific,Mumbai,60,0.00
138.2.114.58,443,443,true,ICN,Asia Pacific,Seoul,68,0.00
168.138.194.74,443,443,true,NRT,Asia Pacific,Tokyo,69,0.00
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,69,0.00
217.142.243.205,443,443,true,KIX,Asia Pacific,Osaka,70,0.00
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,85,0.00
152.70.249.67,443,443,true,ICN,Asia Pacific,Seoul,86,0.00
168.138.194.74,443,443,true,NRT,Asia Pacific,Tokyo,90,0.00
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,111,0.00
168.138.201.0,443,443,true,NRT,Asia Pacific,Tokyo,118,0.00
146.56.167.69,443,443,true,NRT,Asia Pacific,Tokyo,119,0.00
192.18.134.231,443,443,true,SJC,North America,San Jose,196,0.00
152.70.117.136,443,443,true,SJC,North America,San Jose,202,0.00
152.67.78.164,8443,443,true,MXP,Europe,Milan,203,0.00
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,260,0.00
152.70.58.78,443,443,true,FRA,Europe,Frankfurt,265,0.00
84.8.146.176,443,443,true,FRA,Europe,Frankfurt,268,0.00
141.147.115.246,443,443,true,FRA,Europe,Frankfurt,271,0.00
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,281,0.00
150.136.61.148,443,443,true,IAD,North America,Ashburn,288,0.00
152.70.55.73,443,443,true,FRA,Europe,Frankfurt,299,0.00
140.238.223.43,443,443,true,MXP,Europe,Milan,303,0.00
143.47.237.216,443,443,true,FRA,Europe,Frankfurt,304,0.00
143.47.238.0,443,443,true,FRA,Europe,Frankfurt,309,0.00
129.146.84.236,443,443,true,LAX,North America,Los Angeles,312,0.00
143.47.239.84,443,443,true,FRA,Europe,Frankfurt,317,0.00
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,324,0.00
141.147.87.3,443,443,true,FRA,Europe,Frankfurt,340,0.00
141.147.38.223,443,443,true,FRA,Europe,Frankfurt,348,0.00
84.8.156.6,443,443,true,FRA,Europe,Frankfurt,373,0.00
152.70.180.98,443,443,true,FRA,Europe,Frankfurt,419,0.00
